date,value
2021-12-07T00:59:59Z,0.300
2021-12-07T01:59:59Z,0.590
2021-12-07T02:59:59Z,0.890
2021-12-07T03:59:59Z,1.180
2021-12-07T04:59:59Z,1.480
2021-12-07T05:59:59Z,1.770
2021-12-07T06:59:59Z,2.070
2021-12-07T07:59:59Z,2.380
2021-12-07T08:59:59Z,2.940
2021-12-07T09:59:59Z,3.540
2021-12-07T10:59:59Z,4.090
2021-12-07T11:59:59Z,4.660
2021-12-07T12:59:59Z,5.240
2021-12-07T13:59:59Z,5.820
2021-12-07T14:59:59Z,6.410
2021-12-07T15:59:59Z,7.000
2021-12-07T16:59:59Z,7.430
2021-12-07T17:59:59Z,7.770
2021-12-07T18:59:59Z,8.110
2021-12-07T19:59:59Z,9.130
2021-12-07T20:59:59Z,9.850
2021-12-07T21:59:59Z,10.380
2021-12-07T22:59:59Z,11.390
2021-12-07T23:59:59Z,12.400
