date,value
2021-12-05T00:59:59Z,0.920
2021-12-05T01:59:59Z,1.210
2021-12-05T02:59:59Z,1.490
2021-12-05T03:59:59Z,1.780
2021-12-05T04:59:59Z,2.080
2021-12-05T05:59:59Z,2.360
2021-12-05T06:59:59Z,2.640
2021-12-05T07:59:59Z,2.930
2021-12-05T08:59:59Z,3.250
2021-12-05T09:59:59Z,3.650
2021-12-05T10:59:59Z,3.860
2021-12-05T11:59:59Z,4.100
2021-12-05T12:59:59Z,4.360
2021-12-05T13:59:59Z,4.630
2021-12-05T14:59:59Z,4.910
2021-12-05T15:59:59Z,5.370
2021-12-05T16:59:59Z,6.600
2021-12-05T17:59:59Z,7.760
2021-12-05T18:59:59Z,9.340
2021-12-05T19:59:59Z,9.790
2021-12-05T20:59:59Z,10.340
2021-12-05T21:59:59Z,10.750
2021-12-05T22:59:59Z,11.790
2021-12-05T23:59:59Z,12.710
