date,value
2021-12-15T00:59:59Z,0.290
2021-12-15T01:59:59Z,0.590
2021-12-15T02:59:59Z,0.880
2021-12-15T03:59:59Z,1.180
2021-12-15T04:59:59Z,1.470
2021-12-15T05:59:59Z,1.770
2021-12-15T06:59:59Z,2.120
2021-12-15T07:59:59Z,2.410
2021-12-15T08:59:59Z,3.070
2021-12-15T09:59:59Z,3.700
2021-12-15T10:59:59Z,4.220
2021-12-15T11:59:59Z,4.780
2021-12-15T12:59:59Z,5.350
2021-12-15T13:59:59Z,5.870
2021-12-15T14:59:59Z,6.380
2021-12-15T15:59:59Z,6.990
2021-12-15T16:59:59Z,7.500
2021-12-15T17:59:59Z,7.970
2021-12-15T18:59:59Z,8.470
2021-12-15T19:59:59Z,9.100
2021-12-15T20:59:59Z,9.520
2021-12-15T21:59:59Z,10.180
2021-12-15T22:59:59Z,11.090
2021-12-15T23:59:59Z,12.370
