date,value
2021-12-16T00:59:59Z,0.500
2021-12-16T01:59:59Z,0.800
2021-12-16T02:59:59Z,1.160
2021-12-16T03:59:59Z,1.500
2021-12-16T04:59:59Z,1.790
2021-12-16T05:59:59Z,2.080
2021-12-16T06:59:59Z,2.360
2021-12-16T07:59:59Z,2.690
2021-12-16T08:59:59Z,3.110
2021-12-16T09:59:59Z,3.640
2021-12-16T10:59:59Z,4.210
2021-12-16T11:59:59Z,4.800
2021-12-16T12:59:59Z,5.320
2021-12-16T13:59:59Z,5.900
2021-12-16T14:59:59Z,6.340
2021-12-16T15:59:59Z,6.880
2021-12-16T16:59:59Z,7.520
2021-12-16T17:59:59Z,7.860
2021-12-16T18:59:59Z,9.320
2021-12-16T19:59:59Z,9.690
2021-12-16T20:59:59Z,10.000
2021-12-16T21:59:59Z,10.420
2021-12-16T22:59:59Z,11.180
2021-12-16T23:59:59Z,12.490
