date,value
2021-12-03T00:59:59Z,0.550
2021-12-03T01:59:59Z,0.850
2021-12-03T02:59:59Z,1.140
2021-12-03T03:59:59Z,1.430
2021-12-03T04:59:59Z,1.730
2021-12-03T05:59:59Z,2.020
2021-12-03T06:59:59Z,2.320
2021-12-03T07:59:59Z,2.670
2021-12-03T08:59:59Z,3.080
2021-12-03T09:59:59Z,3.680
2021-12-03T10:59:59Z,4.270
2021-12-03T11:59:59Z,4.770
2021-12-03T12:59:59Z,5.320
2021-12-03T13:59:59Z,5.940
2021-12-03T14:59:59Z,6.490
2021-12-03T15:59:59Z,7.070
2021-12-03T16:59:59Z,7.810
2021-12-03T17:59:59Z,8.280
2021-12-03T18:59:59Z,8.740
2021-12-03T19:59:59Z,9.550
2021-12-03T20:59:59Z,10.070
2021-12-03T21:59:59Z,10.520
2021-12-03T22:59:59Z,11.490
2021-12-03T23:59:59Z,12.050
