date,value
2021-12-01T00:59:59Z,0.290
2021-12-01T01:59:59Z,0.570
2021-12-01T02:59:59Z,0.860
2021-12-01T03:59:59Z,1.220
2021-12-01T04:59:59Z,1.560
2021-12-01T05:59:59Z,1.850
2021-12-01T06:59:59Z,2.140
2021-12-01T07:59:59Z,2.430
2021-12-01T08:59:59Z,3.030
2021-12-01T09:59:59Z,3.650
2021-12-01T10:59:59Z,4.160
2021-12-01T11:59:59Z,4.640
2021-12-01T12:59:59Z,5.230
2021-12-01T13:59:59Z,5.760
2021-12-01T14:59:59Z,6.370
2021-12-01T15:59:59Z,6.950
2021-12-01T16:59:59Z,7.440
2021-12-01T17:59:59Z,8.000
2021-12-01T18:59:59Z,8.420
2021-12-01T19:59:59Z,8.980
2021-12-01T20:59:59Z,9.470
2021-12-01T21:59:59Z,9.860
2021-12-01T22:59:59Z,11.200
2021-12-01T23:59:59Z,12.270
