date,value
2021-12-06T00:59:59Z,0.280
2021-12-06T01:59:59Z,0.590
2021-12-06T02:59:59Z,0.960
2021-12-06T03:59:59Z,1.240
2021-12-06T04:59:59Z,1.520
2021-12-06T05:59:59Z,1.810
2021-12-06T06:59:59Z,2.150
2021-12-06T07:59:59Z,2.430
2021-12-06T08:59:59Z,3.030
2021-12-06T09:59:59Z,3.580
2021-12-06T10:59:59Z,4.170
2021-12-06T11:59:59Z,4.630
2021-12-06T12:59:59Z,5.170
2021-12-06T13:59:59Z,5.760
2021-12-06T14:59:59Z,6.310
2021-12-06T15:59:59Z,6.780
2021-12-06T16:59:59Z,7.210
2021-12-06T17:59:59Z,7.750
2021-12-06T18:59:59Z,9.140
2021-12-06T19:59:59Z,9.680
2021-12-06T20:59:59Z,10.120
2021-12-06T21:59:59Z,10.710
2021-12-06T22:59:59Z,11.820
2021-12-06T23:59:59Z,12.940
