date,value
2021-12-08T00:59:59Z,0.310
2021-12-08T01:59:59Z,0.590
2021-12-08T02:59:59Z,0.890
2021-12-08T03:59:59Z,1.180
2021-12-08T04:59:59Z,1.470
2021-12-08T05:59:59Z,1.750
2021-12-08T06:59:59Z,2.090
2021-12-08T07:59:59Z,2.380
2021-12-08T08:59:59Z,3.090
2021-12-08T09:59:59Z,3.710
2021-12-08T10:59:59Z,4.350
2021-12-08T11:59:59Z,4.840
2021-12-08T12:59:59Z,5.410
2021-12-08T13:59:59Z,5.920
2021-12-08T14:59:59Z,6.520
2021-12-08T15:59:59Z,7.160
2021-12-08T16:59:59Z,7.660
2021-12-08T17:59:59Z,8.220
2021-12-08T18:59:59Z,8.880
2021-12-08T19:59:59Z,9.540
2021-12-08T20:59:59Z,10.110
2021-12-08T21:59:59Z,10.590
2021-12-08T22:59:59Z,11.830
2021-12-08T23:59:59Z,12.820
