date,value
2021-12-09T00:59:59Z,0.310
2021-12-09T01:59:59Z,0.600
2021-12-09T02:59:59Z,0.900
2021-12-09T03:59:59Z,1.190
2021-12-09T04:59:59Z,1.490
2021-12-09T05:59:59Z,1.770
2021-12-09T06:59:59Z,2.110
2021-12-09T07:59:59Z,2.420
2021-12-09T08:59:59Z,2.970
2021-12-09T09:59:59Z,3.560
2021-12-09T10:59:59Z,4.110
2021-12-09T11:59:59Z,4.620
2021-12-09T12:59:59Z,5.110
2021-12-09T13:59:59Z,5.680
2021-12-09T14:59:59Z,6.290
2021-12-09T15:59:59Z,6.910
2021-12-09T16:59:59Z,7.420
2021-12-09T17:59:59Z,8.020
2021-12-09T18:59:59Z,8.520
2021-12-09T19:59:59Z,9.740
2021-12-09T20:59:59Z,10.440
2021-12-09T21:59:59Z,10.840
2021-12-09T22:59:59Z,11.710
2021-12-09T23:59:59Z,13.000
