date,value
2021-12-04T00:59:59Z,0.300
2021-12-04T01:59:59Z,0.670
2021-12-04T02:59:59Z,1.010
2021-12-04T03:59:59Z,1.310
2021-12-04T04:59:59Z,1.610
2021-12-04T05:59:59Z,1.900
2021-12-04T06:59:59Z,2.180
2021-12-04T07:59:59Z,2.510
2021-12-04T08:59:59Z,2.790
2021-12-04T09:59:59Z,3.130
2021-12-04T10:59:59Z,3.570
2021-12-04T11:59:59Z,3.900
2021-12-04T12:59:59Z,4.190
2021-12-04T13:59:59Z,4.490
2021-12-04T14:59:59Z,5.780
2021-12-04T15:59:59Z,6.390
2021-12-04T16:59:59Z,6.750
2021-12-04T17:59:59Z,7.150
2021-12-04T18:59:59Z,7.570
2021-12-04T19:59:59Z,8.040
2021-12-04T20:59:59Z,8.480
2021-12-04T21:59:59Z,8.970
2021-12-04T22:59:59Z,9.350
2021-12-04T23:59:59Z,10.460
