date,value
2021-12-02T00:59:59Z,0.370
2021-12-02T01:59:59Z,0.660
2021-12-02T02:59:59Z,0.950
2021-12-02T03:59:59Z,1.240
2021-12-02T04:59:59Z,1.540
2021-12-02T05:59:59Z,1.820
2021-12-02T06:59:59Z,2.180
2021-12-02T07:59:59Z,2.510
2021-12-02T08:59:59Z,3.180
2021-12-02T09:59:59Z,3.620
2021-12-02T10:59:59Z,4.170
2021-12-02T11:59:59Z,4.660
2021-12-02T12:59:59Z,5.060
2021-12-02T13:59:59Z,5.640
2021-12-02T14:59:59Z,6.200
2021-12-02T15:59:59Z,6.790
2021-12-02T16:59:59Z,7.330
2021-12-02T17:59:59Z,7.840
2021-12-02T18:59:59Z,9.070
2021-12-02T19:59:59Z,10.450
2021-12-02T20:59:59Z,11.050
2021-12-02T21:59:59Z,11.560
2021-12-02T22:59:59Z,12.310
2021-12-02T23:59:59Z,13.630
