date,value
2021-12-19T00:59:59Z,0.590
2021-12-19T01:59:59Z,0.880
2021-12-19T02:59:59Z,1.280
2021-12-19T03:59:59Z,1.590
2021-12-19T04:59:59Z,1.890
2021-12-19T05:59:59Z,2.170
2021-12-19T06:59:59Z,2.460
2021-12-19T07:59:59Z,2.740
2021-12-19T08:59:59Z,3.030
2021-12-19T09:59:59Z,3.370
2021-12-19T10:59:59Z,3.830
2021-12-19T11:59:59Z,4.170
2021-12-19T12:59:59Z,4.590
2021-12-19T13:59:59Z,5.050
2021-12-19T14:59:59Z,5.490
2021-12-19T15:59:59Z,5.970
2021-12-19T16:59:59Z,6.500
2021-12-19T17:59:59Z,6.980
2021-12-19T18:59:59Z,8.510
2021-12-19T19:59:59Z,8.900
2021-12-19T20:59:59Z,9.380
2021-12-19T21:59:59Z,9.760
2021-12-19T22:59:59Z,10.950
2021-12-19T23:59:59Z,11.970
