date,value
2021-12-10T00:59:59Z,0.420
2021-12-10T01:59:59Z,0.850
2021-12-10T02:59:59Z,1.210
2021-12-10T03:59:59Z,1.530
2021-12-10T04:59:59Z,1.850
2021-12-10T05:59:59Z,2.160
2021-12-10T06:59:59Z,2.510
2021-12-10T07:59:59Z,2.830
2021-12-10T08:59:59Z,3.270
2021-12-10T09:59:59Z,3.780
2021-12-10T10:59:59Z,4.320
2021-12-10T11:59:59Z,4.860
2021-12-10T12:59:59Z,5.420
2021-12-10T13:59:59Z,6.030
2021-12-10T14:59:59Z,6.580
2021-12-10T15:59:59Z,7.240
2021-12-10T16:59:59Z,7.810
2021-12-10T17:59:59Z,8.360
2021-12-10T18:59:59Z,8.960
2021-12-10T19:59:59Z,9.890
2021-12-10T20:59:59Z,10.490
2021-12-10T21:59:59Z,10.960
2021-12-10T22:59:59Z,11.710
2021-12-10T23:59:59Z,13.000
