date,value
2021-12-11T00:59:59Z,0.530
2021-12-11T01:59:59Z,0.820
2021-12-11T02:59:59Z,1.120
2021-12-11T03:59:59Z,1.420
2021-12-11T04:59:59Z,1.710
2021-12-11T05:59:59Z,2.000
2021-12-11T06:59:59Z,2.310
2021-12-11T07:59:59Z,2.740
2021-12-11T08:59:59Z,3.130
2021-12-11T09:59:59Z,3.730
2021-12-11T10:59:59Z,4.210
2021-12-11T11:59:59Z,4.700
2021-12-11T12:59:59Z,5.030
2021-12-11T13:59:59Z,5.770
2021-12-11T14:59:59Z,6.180
2021-12-11T15:59:59Z,6.560
2021-12-11T16:59:59Z,7.020
2021-12-11T17:59:59Z,7.890
2021-12-11T18:59:59Z,9.730
2021-12-11T19:59:59Z,10.850
2021-12-11T20:59:59Z,11.280
2021-12-11T21:59:59Z,11.770
2021-12-11T22:59:59Z,12.150
2021-12-11T23:59:59Z,12.860
