date,value
2021-12-21T00:59:59Z,0.260
2021-12-21T01:59:59Z,0.510
2021-12-21T02:59:59Z,0.760
2021-12-21T03:59:59Z,1.000
2021-12-21T04:59:59Z,1.250
2021-12-21T05:59:59Z,1.510
2021-12-21T06:59:59Z,1.750
2021-12-21T07:59:59Z,2.000
2021-12-21T08:59:59Z,2.240
2021-12-21T09:59:59Z,2.490
2021-12-21T10:59:59Z,2.750
2021-12-21T11:59:59Z,2.990
2021-12-21T12:59:59Z,3.240
2021-12-21T13:59:59Z,3.470
2021-12-21T14:59:59Z,3.720
2021-12-21T15:59:59Z,3.970
2021-12-21T16:59:59Z,4.210
2021-12-21T17:59:59Z,4.460
2021-12-21T18:59:59Z,4.700
2021-12-21T19:59:59Z,4.950
2021-12-21T20:59:59Z,5.200
2021-12-21T21:59:59Z,5.450
2021-12-21T22:59:59Z,5.700
2021-12-21T23:59:59Z,5.950
