date,value
2021-12-12T00:59:59Z,1.200
2021-12-12T01:59:59Z,1.670
2021-12-12T02:59:59Z,1.980
2021-12-12T03:59:59Z,2.360
2021-12-12T04:59:59Z,2.740
2021-12-12T05:59:59Z,3.080
2021-12-12T06:59:59Z,3.400
2021-12-12T07:59:59Z,3.710
2021-12-12T08:59:59Z,4.020
2021-12-12T09:59:59Z,4.420
2021-12-12T10:59:59Z,4.960
2021-12-12T11:59:59Z,5.520
2021-12-12T12:59:59Z,6.100
2021-12-12T13:59:59Z,6.510
2021-12-12T14:59:59Z,7.030
2021-12-12T15:59:59Z,7.580
2021-12-12T16:59:59Z,8.090
2021-12-12T17:59:59Z,9.430
2021-12-12T18:59:59Z,10.150
2021-12-12T19:59:59Z,10.590
2021-12-12T20:59:59Z,11.080
2021-12-12T21:59:59Z,11.530
2021-12-12T22:59:59Z,12.490
2021-12-12T23:59:59Z,13.880
