date,value
2021-12-18T00:59:59Z,0.280
2021-12-18T01:59:59Z,0.570
2021-12-18T02:59:59Z,0.950
2021-12-18T03:59:59Z,1.250
2021-12-18T04:59:59Z,1.550
2021-12-18T05:59:59Z,1.830
2021-12-18T06:59:59Z,2.110
2021-12-18T07:59:59Z,2.380
2021-12-18T08:59:59Z,2.680
2021-12-18T09:59:59Z,3.290
2021-12-18T10:59:59Z,3.730
2021-12-18T11:59:59Z,4.080
2021-12-18T12:59:59Z,4.370
2021-12-18T13:59:59Z,4.990
2021-12-18T14:59:59Z,5.340
2021-12-18T15:59:59Z,5.700
2021-12-18T16:59:59Z,6.580
2021-12-18T17:59:59Z,7.020
2021-12-18T18:59:59Z,7.390
2021-12-18T19:59:59Z,8.850
2021-12-18T20:59:59Z,9.210
2021-12-18T21:59:59Z,9.770
2021-12-18T22:59:59Z,10.400
2021-12-18T23:59:59Z,11.640
