date,value
2021-12-20T00:59:59Z,0.290
2021-12-20T01:59:59Z,0.600
2021-12-20T02:59:59Z,0.980
2021-12-20T03:59:59Z,1.290
2021-12-20T04:59:59Z,1.580
2021-12-20T05:59:59Z,1.880
2021-12-20T06:59:59Z,2.170
2021-12-20T07:59:59Z,2.470
2021-12-20T08:59:59Z,3.030
2021-12-20T09:59:59Z,3.410
2021-12-20T10:59:59Z,3.910
2021-12-20T11:59:59Z,4.540
2021-12-20T12:59:59Z,5.060
2021-12-20T13:59:59Z,5.600
2021-12-20T14:59:59Z,6.050
2021-12-20T15:59:59Z,6.590
2021-12-20T16:59:59Z,7.050
2021-12-20T17:59:59Z,7.570
2021-12-20T18:59:59Z,8.430
2021-12-20T19:59:59Z,9.210
2021-12-20T20:59:59Z,9.450
2021-12-20T21:59:59Z,9.690
2021-12-20T22:59:59Z,10.040
2021-12-20T23:59:59Z,10.310
