date,value
2021-12-14T00:59:59Z,0.450
2021-12-14T01:59:59Z,0.900
2021-12-14T02:59:59Z,1.210
2021-12-14T03:59:59Z,1.510
2021-12-14T04:59:59Z,1.810
2021-12-14T05:59:59Z,2.110
2021-12-14T06:59:59Z,2.450
2021-12-14T07:59:59Z,2.750
2021-12-14T08:59:59Z,3.190
2021-12-14T09:59:59Z,3.800
2021-12-14T10:59:59Z,4.350
2021-12-14T11:59:59Z,4.870
2021-12-14T12:59:59Z,5.450
2021-12-14T13:59:59Z,6.080
2021-12-14T14:59:59Z,6.680
2021-12-14T15:59:59Z,7.220
2021-12-14T16:59:59Z,7.810
2021-12-14T17:59:59Z,8.350
2021-12-14T18:59:59Z,8.950
2021-12-14T19:59:59Z,10.130
2021-12-14T20:59:59Z,10.700
2021-12-14T21:59:59Z,11.160
2021-12-14T22:59:59Z,12.370
2021-12-14T23:59:59Z,13.320
