date,value
2021-12-13T00:59:59Z,0.350
2021-12-13T01:59:59Z,0.670
2021-12-13T02:59:59Z,0.980
2021-12-13T03:59:59Z,1.280
2021-12-13T04:59:59Z,1.570
2021-12-13T05:59:59Z,1.880
2021-12-13T06:59:59Z,2.210
2021-12-13T07:59:59Z,2.500
2021-12-13T08:59:59Z,3.130
2021-12-13T09:59:59Z,3.680
2021-12-13T10:59:59Z,4.180
2021-12-13T11:59:59Z,4.710
2021-12-13T12:59:59Z,5.240
2021-12-13T13:59:59Z,5.780
2021-12-13T14:59:59Z,6.270
2021-12-13T15:59:59Z,6.830
2021-12-13T16:59:59Z,7.380
2021-12-13T17:59:59Z,7.880
2021-12-13T18:59:59Z,8.350
2021-12-13T19:59:59Z,9.870
2021-12-13T20:59:59Z,10.400
2021-12-13T21:59:59Z,10.820
2021-12-13T22:59:59Z,12.040
2021-12-13T23:59:59Z,13.060
