date,value
2022-01-10T00:59:59Z,0.300
2022-01-10T01:59:59Z,0.590
2022-01-10T02:59:59Z,0.870
2022-01-10T03:59:59Z,1.160
2022-01-10T04:59:59Z,1.450
2022-01-10T05:59:59Z,1.750
2022-01-10T06:59:59Z,2.090
2022-01-10T07:59:59Z,2.420
2022-01-10T08:59:59Z,3.040
2022-01-10T09:59:59Z,3.640
2022-01-10T10:59:59Z,4.260
2022-01-10T11:59:59Z,4.880
2022-01-10T12:59:59Z,5.490
2022-01-10T13:59:59Z,6.090
2022-01-10T14:59:59Z,6.630
2022-01-10T15:59:59Z,7.230
2022-01-10T16:59:59Z,7.860
2022-01-10T17:59:59Z,8.350
2022-01-10T18:59:59Z,8.980
2022-01-10T19:59:59Z,9.480
2022-01-10T20:59:59Z,10.040
2022-01-10T21:59:59Z,10.460
2022-01-10T22:59:59Z,11.680
2022-01-10T23:59:59Z,12.570
