date,value
2022-01-21T00:59:59Z,0.630
2022-01-21T01:59:59Z,0.920
2022-01-21T02:59:59Z,1.210
2022-01-21T03:59:59Z,1.510
2022-01-21T04:59:59Z,1.820
2022-01-21T05:59:59Z,2.130
2022-01-21T06:59:59Z,2.430
2022-01-21T07:59:59Z,2.730
2022-01-21T08:59:59Z,3.110
2022-01-21T09:59:59Z,3.680
2022-01-21T10:59:59Z,4.270
2022-01-21T11:59:59Z,4.740
2022-01-21T12:59:59Z,5.160
2022-01-21T13:59:59Z,5.720
2022-01-21T14:59:59Z,6.280
2022-01-21T15:59:59Z,6.870
2022-01-21T16:59:59Z,7.440
2022-01-21T17:59:59Z,7.900
2022-01-21T18:59:59Z,8.510
2022-01-21T19:59:59Z,9.290
2022-01-21T20:59:59Z,9.780
2022-01-21T21:59:59Z,10.170
2022-01-21T22:59:59Z,11.010
2022-01-21T23:59:59Z,12.210
