date,value
2022-01-22T00:59:59Z,0.300
2022-01-22T01:59:59Z,0.600
2022-01-22T02:59:59Z,0.880
2022-01-22T03:59:59Z,1.190
2022-01-22T04:59:59Z,1.490
2022-01-22T05:59:59Z,1.790
2022-01-22T06:59:59Z,2.110
2022-01-22T07:59:59Z,2.530
2022-01-22T08:59:59Z,2.840
2022-01-22T09:59:59Z,3.490
2022-01-22T10:59:59Z,3.990
2022-01-22T11:59:59Z,4.320
2022-01-22T12:59:59Z,4.650
2022-01-22T13:59:59Z,5.170
2022-01-22T14:59:59Z,5.660
2022-01-22T15:59:59Z,6.220
2022-01-22T16:59:59Z,6.760
2022-01-22T17:59:59Z,7.420
2022-01-22T18:59:59Z,8.810
2022-01-22T19:59:59Z,9.350
2022-01-22T20:59:59Z,9.520
2022-01-22T21:59:59Z,10.060
2022-01-22T22:59:59Z,10.550
2022-01-22T23:59:59Z,11.380
