date,value
2022-01-13T00:59:59Z,0.410
2022-01-13T01:59:59Z,0.700
2022-01-13T02:59:59Z,0.990
2022-01-13T03:59:59Z,1.270
2022-01-13T04:59:59Z,1.570
2022-01-13T05:59:59Z,1.850
2022-01-13T06:59:59Z,2.140
2022-01-13T07:59:59Z,2.450
2022-01-13T08:59:59Z,3.130
2022-01-13T09:59:59Z,3.720
2022-01-13T10:59:59Z,4.320
2022-01-13T11:59:59Z,4.850
2022-01-13T12:59:59Z,5.390
2022-01-13T13:59:59Z,5.830
2022-01-13T14:59:59Z,6.490
2022-01-13T15:59:59Z,7.160
2022-01-13T16:59:59Z,7.820
2022-01-13T17:59:59Z,8.390
2022-01-13T18:59:59Z,8.930
2022-01-13T19:59:59Z,10.250
2022-01-13T20:59:59Z,10.870
2022-01-13T21:59:59Z,11.270
2022-01-13T22:59:59Z,12.320
2022-01-13T23:59:59Z,13.320
