date,value
2022-01-08T00:59:59Z,0.890
2022-01-08T01:59:59Z,1.180
2022-01-08T02:59:59Z,1.470
2022-01-08T03:59:59Z,1.760
2022-01-08T04:59:59Z,2.060
2022-01-08T05:59:59Z,2.340
2022-01-08T06:59:59Z,2.630
2022-01-08T07:59:59Z,2.960
2022-01-08T08:59:59Z,3.270
2022-01-08T09:59:59Z,3.850
2022-01-08T10:59:59Z,4.380
2022-01-08T11:59:59Z,4.740
2022-01-08T12:59:59Z,5.120
2022-01-08T13:59:59Z,5.600
2022-01-08T14:59:59Z,6.100
2022-01-08T15:59:59Z,6.550
2022-01-08T16:59:59Z,7.020
2022-01-08T17:59:59Z,8.160
2022-01-08T18:59:59Z,9.630
2022-01-08T19:59:59Z,10.070
2022-01-08T20:59:59Z,10.500
2022-01-08T21:59:59Z,10.990
2022-01-08T22:59:59Z,11.390
2022-01-08T23:59:59Z,12.420
