date,value
2022-01-01T00:59:59Z,0.350
2022-01-01T01:59:59Z,0.840
2022-01-01T02:59:59Z,1.940
2022-01-01T03:59:59Z,2.820
2022-01-01T04:59:59Z,3.110
2022-01-01T05:59:59Z,3.400
2022-01-01T06:59:59Z,3.680
2022-01-01T07:59:59Z,3.960
2022-01-01T08:59:59Z,4.240
2022-01-01T09:59:59Z,4.680
2022-01-01T10:59:59Z,5.090
2022-01-01T11:59:59Z,5.340
2022-01-01T12:59:59Z,5.570
2022-01-01T13:59:59Z,5.900
2022-01-01T14:59:59Z,6.390
2022-01-01T15:59:59Z,6.870
2022-01-01T16:59:59Z,7.270
2022-01-01T17:59:59Z,7.750
2022-01-01T18:59:59Z,9.110
2022-01-01T19:59:59Z,10.540
2022-01-01T20:59:59Z,10.960
2022-01-01T21:59:59Z,11.370
2022-01-01T22:59:59Z,11.700
2022-01-01T23:59:59Z,12.590
