date,value
2022-01-03T00:59:59Z,0.930
2022-01-03T01:59:59Z,1.220
2022-01-03T02:59:59Z,1.510
2022-01-03T03:59:59Z,1.790
2022-01-03T04:59:59Z,2.090
2022-01-03T05:59:59Z,2.370
2022-01-03T06:59:59Z,2.660
2022-01-03T07:59:59Z,2.950
2022-01-03T08:59:59Z,3.270
2022-01-03T09:59:59Z,3.660
2022-01-03T10:59:59Z,4.290
2022-01-03T11:59:59Z,4.690
2022-01-03T12:59:59Z,4.980
2022-01-03T13:59:59Z,5.670
2022-01-03T14:59:59Z,6.240
2022-01-03T15:59:59Z,6.710
2022-01-03T16:59:59Z,7.300
2022-01-03T17:59:59Z,7.750
2022-01-03T18:59:59Z,8.300
2022-01-03T19:59:59Z,9.040
2022-01-03T20:59:59Z,9.930
2022-01-03T21:59:59Z,10.320
2022-01-03T22:59:59Z,11.250
2022-01-03T23:59:59Z,12.640
