date,value
2022-01-16T00:59:59Z,0.580
2022-01-16T01:59:59Z,1.700
2022-01-16T02:59:59Z,2.190
2022-01-16T03:59:59Z,2.480
2022-01-16T04:59:59Z,2.770
2022-01-16T05:59:59Z,3.060
2022-01-16T06:59:59Z,3.340
2022-01-16T07:59:59Z,3.630
2022-01-16T08:59:59Z,3.920
2022-01-16T09:59:59Z,4.390
2022-01-16T10:59:59Z,4.890
2022-01-16T11:59:59Z,5.350
2022-01-16T12:59:59Z,5.840
2022-01-16T13:59:59Z,6.420
2022-01-16T14:59:59Z,6.890
2022-01-16T15:59:59Z,7.310
2022-01-16T16:59:59Z,7.900
2022-01-16T17:59:59Z,9.320
2022-01-16T18:59:59Z,10.350
2022-01-16T19:59:59Z,10.940
2022-01-16T20:59:59Z,11.480
2022-01-16T21:59:59Z,11.990
2022-01-16T22:59:59Z,12.600
2022-01-16T23:59:59Z,13.450
