date,value
2022-01-20T00:59:59Z,0.300
2022-01-20T01:59:59Z,0.700
2022-01-20T02:59:59Z,1.000
2022-01-20T03:59:59Z,1.310
2022-01-20T04:59:59Z,1.630
2022-01-20T05:59:59Z,1.920
2022-01-20T06:59:59Z,2.230
2022-01-20T07:59:59Z,2.560
2022-01-20T08:59:59Z,3.140
2022-01-20T09:59:59Z,3.710
2022-01-20T10:59:59Z,4.120
2022-01-20T11:59:59Z,4.620
2022-01-20T12:59:59Z,5.060
2022-01-20T13:59:59Z,5.480
2022-01-20T14:59:59Z,6.020
2022-01-20T15:59:59Z,6.610
2022-01-20T16:59:59Z,7.150
2022-01-20T17:59:59Z,7.650
2022-01-20T18:59:59Z,8.060
2022-01-20T19:59:59Z,8.500
2022-01-20T20:59:59Z,8.940
2022-01-20T21:59:59Z,9.490
2022-01-20T22:59:59Z,10.270
2022-01-20T23:59:59Z,11.510
