date,value
2022-01-19T00:59:59Z,0.290
2022-01-19T01:59:59Z,0.590
2022-01-19T02:59:59Z,0.900
2022-01-19T03:59:59Z,1.190
2022-01-19T04:59:59Z,1.480
2022-01-19T05:59:59Z,1.770
2022-01-19T06:59:59Z,2.100
2022-01-19T07:59:59Z,2.410
2022-01-19T08:59:59Z,2.990
2022-01-19T09:59:59Z,3.670
2022-01-19T10:59:59Z,4.210
2022-01-19T11:59:59Z,4.630
2022-01-19T12:59:59Z,5.200
2022-01-19T13:59:59Z,5.760
2022-01-19T14:59:59Z,6.390
2022-01-19T15:59:59Z,6.900
2022-01-19T16:59:59Z,7.570
2022-01-19T17:59:59Z,8.180
2022-01-19T18:59:59Z,8.740
2022-01-19T19:59:59Z,9.620
2022-01-19T20:59:59Z,10.330
2022-01-19T21:59:59Z,10.830
2022-01-19T22:59:59Z,12.080
2022-01-19T23:59:59Z,13.010
