date,value
2022-01-18T00:59:59Z,0.300
2022-01-18T01:59:59Z,0.590
2022-01-18T02:59:59Z,0.880
2022-01-18T03:59:59Z,1.170
2022-01-18T04:59:59Z,1.470
2022-01-18T05:59:59Z,1.770
2022-01-18T06:59:59Z,2.120
2022-01-18T07:59:59Z,2.400
2022-01-18T08:59:59Z,2.910
2022-01-18T09:59:59Z,3.490
2022-01-18T10:59:59Z,4.120
2022-01-18T11:59:59Z,4.610
2022-01-18T12:59:59Z,5.140
2022-01-18T13:59:59Z,5.720
2022-01-18T14:59:59Z,6.340
2022-01-18T15:59:59Z,6.990
2022-01-18T16:59:59Z,7.530
2022-01-18T17:59:59Z,8.140
2022-01-18T18:59:59Z,8.700
2022-01-18T19:59:59Z,9.260
2022-01-18T20:59:59Z,9.880
2022-01-18T21:59:59Z,10.540
2022-01-18T22:59:59Z,11.800
2022-01-18T23:59:59Z,12.690
