date,value
2022-01-12T00:59:59Z,0.310
2022-01-12T01:59:59Z,0.590
2022-01-12T02:59:59Z,0.880
2022-01-12T03:59:59Z,1.170
2022-01-12T04:59:59Z,1.460
2022-01-12T05:59:59Z,1.750
2022-01-12T06:59:59Z,2.090
2022-01-12T07:59:59Z,2.400
2022-01-12T08:59:59Z,3.000
2022-01-12T09:59:59Z,3.610
2022-01-12T10:59:59Z,4.220
2022-01-12T11:59:59Z,4.810
2022-01-12T12:59:59Z,5.320
2022-01-12T13:59:59Z,5.870
2022-01-12T14:59:59Z,6.490
2022-01-12T15:59:59Z,7.120
2022-01-12T16:59:59Z,7.720
2022-01-12T17:59:59Z,8.300
2022-01-12T18:59:59Z,9.180
2022-01-12T19:59:59Z,10.610
2022-01-12T20:59:59Z,11.270
2022-01-12T21:59:59Z,11.820
2022-01-12T22:59:59Z,12.610
2022-01-12T23:59:59Z,13.810
