date,value
2022-01-04T00:59:59Z,0.340
2022-01-04T01:59:59Z,0.620
2022-01-04T02:59:59Z,0.910
2022-01-04T03:59:59Z,1.200
2022-01-04T04:59:59Z,1.490
2022-01-04T05:59:59Z,1.770
2022-01-04T06:59:59Z,2.070
2022-01-04T07:59:59Z,2.420
2022-01-04T08:59:59Z,2.720
2022-01-04T09:59:59Z,3.200
2022-01-04T10:59:59Z,3.540
2022-01-04T11:59:59Z,3.800
2022-01-04T12:59:59Z,4.890
2022-01-04T13:59:59Z,5.380
2022-01-04T14:59:59Z,6.520
2022-01-04T15:59:59Z,6.980
2022-01-04T16:59:59Z,7.370
2022-01-04T17:59:59Z,7.900
2022-01-04T18:59:59Z,9.370
2022-01-04T19:59:59Z,10.190
2022-01-04T20:59:59Z,10.800
2022-01-04T21:59:59Z,11.750
2022-01-04T22:59:59Z,13.020
2022-01-04T23:59:59Z,13.410
