date,value
2022-01-05T00:59:59Z,0.290
2022-01-05T01:59:59Z,0.570
2022-01-05T02:59:59Z,0.850
2022-01-05T03:59:59Z,1.140
2022-01-05T04:59:59Z,1.440
2022-01-05T05:59:59Z,1.730
2022-01-05T06:59:59Z,2.070
2022-01-05T07:59:59Z,2.360
2022-01-05T08:59:59Z,2.970
2022-01-05T09:59:59Z,3.510
2022-01-05T10:59:59Z,4.000
2022-01-05T11:59:59Z,4.510
2022-01-05T12:59:59Z,5.050
2022-01-05T13:59:59Z,5.690
2022-01-05T14:59:59Z,6.310
2022-01-05T15:59:59Z,7.000
2022-01-05T16:59:59Z,7.570
2022-01-05T17:59:59Z,8.080
2022-01-05T18:59:59Z,9.060
2022-01-05T19:59:59Z,9.930
2022-01-05T20:59:59Z,10.520
2022-01-05T21:59:59Z,11.030
2022-01-05T22:59:59Z,11.420
2022-01-05T23:59:59Z,11.760
