date,value
2022-01-11T00:59:59Z,0.290
2022-01-11T01:59:59Z,0.580
2022-01-11T02:59:59Z,0.880
2022-01-11T03:59:59Z,1.170
2022-01-11T04:59:59Z,1.490
2022-01-11T05:59:59Z,1.820
2022-01-11T06:59:59Z,2.300
2022-01-11T07:59:59Z,2.690
2022-01-11T08:59:59Z,3.140
2022-01-11T09:59:59Z,3.700
2022-01-11T10:59:59Z,4.200
2022-01-11T11:59:59Z,4.750
2022-01-11T12:59:59Z,5.160
2022-01-11T13:59:59Z,5.530
2022-01-11T14:59:59Z,6.090
2022-01-11T15:59:59Z,6.700
2022-01-11T16:59:59Z,7.220
2022-01-11T17:59:59Z,7.730
2022-01-11T18:59:59Z,8.560
2022-01-11T19:59:59Z,9.830
2022-01-11T20:59:59Z,10.750
2022-01-11T21:59:59Z,11.330
2022-01-11T22:59:59Z,12.610
2022-01-11T23:59:59Z,13.250
