date,value
2022-01-06T00:59:59Z,0.290
2022-01-06T01:59:59Z,0.590
2022-01-06T02:59:59Z,0.880
2022-01-06T03:59:59Z,1.170
2022-01-06T04:59:59Z,1.460
2022-01-06T05:59:59Z,1.750
2022-01-06T06:59:59Z,2.090
2022-01-06T07:59:59Z,2.400
2022-01-06T08:59:59Z,2.960
2022-01-06T09:59:59Z,4.430
2022-01-06T10:59:59Z,5.670
2022-01-06T11:59:59Z,6.310
2022-01-06T12:59:59Z,7.050
2022-01-06T13:59:59Z,7.670
2022-01-06T14:59:59Z,8.200
2022-01-06T15:59:59Z,8.840
2022-01-06T16:59:59Z,9.450
2022-01-06T17:59:59Z,9.950
2022-01-06T18:59:59Z,11.050
2022-01-06T19:59:59Z,12.200
2022-01-06T20:59:59Z,12.810
2022-01-06T21:59:59Z,13.220
2022-01-06T22:59:59Z,13.570
2022-01-06T23:59:59Z,13.870
