date,value
2022-01-07T00:59:59Z,0.290
2022-01-07T01:59:59Z,0.570
2022-01-07T02:59:59Z,0.860
2022-01-07T03:59:59Z,1.160
2022-01-07T04:59:59Z,1.440
2022-01-07T05:59:59Z,1.740
2022-01-07T06:59:59Z,2.130
2022-01-07T07:59:59Z,2.520
2022-01-07T08:59:59Z,2.930
2022-01-07T09:59:59Z,3.540
2022-01-07T10:59:59Z,4.060
2022-01-07T11:59:59Z,4.580
2022-01-07T12:59:59Z,5.210
2022-01-07T13:59:59Z,5.940
2022-01-07T14:59:59Z,6.490
2022-01-07T15:59:59Z,7.050
2022-01-07T16:59:59Z,7.560
2022-01-07T17:59:59Z,8.060
2022-01-07T18:59:59Z,9.130
2022-01-07T19:59:59Z,10.160
2022-01-07T20:59:59Z,10.750
2022-01-07T21:59:59Z,11.310
2022-01-07T22:59:59Z,11.800
2022-01-07T23:59:59Z,13.060
