date,value
2022-01-09T00:59:59Z,1.060
2022-01-09T01:59:59Z,1.340
2022-01-09T02:59:59Z,1.650
2022-01-09T03:59:59Z,1.970
2022-01-09T04:59:59Z,2.260
2022-01-09T05:59:59Z,2.560
2022-01-09T06:59:59Z,2.850
2022-01-09T07:59:59Z,3.160
2022-01-09T08:59:59Z,3.550
2022-01-09T09:59:59Z,3.930
2022-01-09T10:59:59Z,4.430
2022-01-09T11:59:59Z,4.730
2022-01-09T12:59:59Z,5.010
2022-01-09T13:59:59Z,6.100
2022-01-09T14:59:59Z,6.280
2022-01-09T15:59:59Z,6.750
2022-01-09T16:59:59Z,7.200
2022-01-09T17:59:59Z,7.710
2022-01-09T18:59:59Z,9.100
2022-01-09T19:59:59Z,9.810
2022-01-09T20:59:59Z,10.400
2022-01-09T21:59:59Z,10.810
2022-01-09T22:59:59Z,11.950
2022-01-09T23:59:59Z,12.860
