date,value
2022-01-15T00:59:59Z,0.300
2022-01-15T01:59:59Z,0.590
2022-01-15T02:59:59Z,0.880
2022-01-15T03:59:59Z,1.250
2022-01-15T04:59:59Z,1.580
2022-01-15T05:59:59Z,1.880
2022-01-15T06:59:59Z,2.170
2022-01-15T07:59:59Z,2.500
2022-01-15T08:59:59Z,3.230
2022-01-15T09:59:59Z,3.760
2022-01-15T10:59:59Z,4.280
2022-01-15T11:59:59Z,4.780
2022-01-15T12:59:59Z,5.330
2022-01-15T13:59:59Z,5.870
2022-01-15T14:59:59Z,6.490
2022-01-15T15:59:59Z,7.150
2022-01-15T16:59:59Z,7.700
2022-01-15T17:59:59Z,8.210
2022-01-15T18:59:59Z,9.070
2022-01-15T19:59:59Z,9.600
2022-01-15T20:59:59Z,10.100
2022-01-15T21:59:59Z,10.440
2022-01-15T22:59:59Z,10.750
2022-01-15T23:59:59Z,11.040
