date,value
2022-01-17T00:59:59Z,0.300
2022-01-17T01:59:59Z,0.670
2022-01-17T02:59:59Z,1.010
2022-01-17T03:59:59Z,1.330
2022-01-17T04:59:59Z,1.640
2022-01-17T05:59:59Z,1.920
2022-01-17T06:59:59Z,2.250
2022-01-17T07:59:59Z,2.540
2022-01-17T08:59:59Z,3.130
2022-01-17T09:59:59Z,3.730
2022-01-17T10:59:59Z,4.270
2022-01-17T11:59:59Z,4.800
2022-01-17T12:59:59Z,5.310
2022-01-17T13:59:59Z,5.880
2022-01-17T14:59:59Z,6.530
2022-01-17T15:59:59Z,7.120
2022-01-17T16:59:59Z,7.640
2022-01-17T17:59:59Z,8.170
2022-01-17T18:59:59Z,8.660
2022-01-17T19:59:59Z,9.900
2022-01-17T20:59:59Z,10.490
2022-01-17T21:59:59Z,11.340
2022-01-17T22:59:59Z,12.600
2022-01-17T23:59:59Z,13.120
