date,value
2022-01-02T00:59:59Z,1.100
2022-01-02T01:59:59Z,1.380
2022-01-02T02:59:59Z,1.660
2022-01-02T03:59:59Z,1.940
2022-01-02T04:59:59Z,2.210
2022-01-02T05:59:59Z,2.480
2022-01-02T06:59:59Z,2.750
2022-01-02T07:59:59Z,3.020
2022-01-02T08:59:59Z,3.300
2022-01-02T09:59:59Z,3.880
2022-01-02T10:59:59Z,4.340
2022-01-02T11:59:59Z,4.620
2022-01-02T12:59:59Z,5.000
2022-01-02T13:59:59Z,5.410
2022-01-02T14:59:59Z,5.930
2022-01-02T15:59:59Z,7.110
2022-01-02T16:59:59Z,7.750
2022-01-02T17:59:59Z,8.330
2022-01-02T18:59:59Z,10.090
2022-01-02T19:59:59Z,10.560
2022-01-02T20:59:59Z,11.060
2022-01-02T21:59:59Z,11.440
2022-01-02T22:59:59Z,11.960
2022-01-02T23:59:59Z,13.210
