date,value
2022-01-14T00:59:59Z,0.280
2022-01-14T01:59:59Z,0.570
2022-01-14T02:59:59Z,0.850
2022-01-14T03:59:59Z,1.150
2022-01-14T04:59:59Z,1.440
2022-01-14T05:59:59Z,1.730
2022-01-14T06:59:59Z,2.030
2022-01-14T07:59:59Z,2.330
2022-01-14T08:59:59Z,2.760
2022-01-14T09:59:59Z,3.370
2022-01-14T10:59:59Z,3.950
2022-01-14T11:59:59Z,4.450
2022-01-14T12:59:59Z,5.110
2022-01-14T13:59:59Z,5.630
2022-01-14T14:59:59Z,6.200
2022-01-14T15:59:59Z,6.710
2022-01-14T16:59:59Z,7.320
2022-01-14T17:59:59Z,7.810
2022-01-14T18:59:59Z,8.330
2022-01-14T19:59:59Z,9.180
2022-01-14T20:59:59Z,9.720
2022-01-14T21:59:59Z,10.190
2022-01-14T22:59:59Z,11.010
2022-01-14T23:59:59Z,12.390
